"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1222",1950,"no",NA,"co-op","formal","no","69-55 150 St, Kew Garden Hills NY, 11367",NA,"efficiency kitchen","$652",1,1,NA,3,NA,NA,NA,NA,NA,88,"11367"
"1223",1949,"yes",NA,"co-op","combo","yes","69-59 136 St,  Flushing NY, 11367",NA,"efficiency kitchen","$753",2,1,NA,5,"$40",NA,NA,NA,NA,73,"11367"
"1224",1967,"no",NA,"co-op","formal","no","70-20 108 St,  Forest Hills NY, 11375",NA,"eatin","$1,478 ",2,2,NA,6,"$180",NA,NA,1415,NA,99,"11375"
"1225",1967,"no",NA,"co-op","formal","no","70-20 108th St,  Forest Hills NY, 11375","yes","eatin","$1,317 ",2,2,NA,5,NA,NA,NA,NA,NA,99,"11375"
"1226",1962,"yes",NA,"co-op",NA,"no","70-20 108th Street,  Forest Hills NY, 11375","yes","eatin","$750",1,1,NA,4,"$165",NA,NA,752,NA,99,"11375"
"1227",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"efficiency kitchen","$687",1,1,NA,1,NA,NA,NA,625,NA,97,"11375"
"1228",1964,"yes",NA,"co-op",NA,"no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$540",NA,1,NA,2,NA,NA,NA,NA,NA,97,"11375"
"1229",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$897",1,1,NA,3,NA,NA,NA,NA,NA,97,"11375"
"1230",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$715",1,1,NA,3,NA,NA,NA,NA,NA,97,"11375"
"1231",1964,"no",NA,"co-op",NA,"no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$876",1,1,NA,3,NA,NA,NA,NA,NA,97,"11375"
"1232",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$1,092 ",2,1,NA,4,NA,NA,NA,NA,NA,97,"11375"
"1233",1964,"yes",NA,"co-op","formal","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$1,191 ",2,1,NA,4,NA,NA,NA,NA,NA,97,"11375"
"1234",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$683",NA,1,NA,3,NA,NA,NA,NA,NA,97,"11375"
"1235",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd, Forest Hills NY, 11375",NA,"combo","$851",1,1,NA,3,NA,NA,NA,NA,NA,97,"11375"
"1236",1955,"no","$840","co-op","formal","no","71-11 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,800,NA,94,"11375"
"1237",1950,"no",NA,"co-op","combo","no","71-11 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$677",NA,1,NA,3,NA,NA,NA,NA,NA,94,"11375"
"1238",1950,"yes",NA,"co-op","combo","yes","71-19 252nd St,  Bellerose NY, 11426",NA,"eatin","$715",1,1,NA,4,NA,NA,NA,NA,NA,55,"11426"
"1239",1950,"yes","$460","condo","combo","yes","71-21 E Park Dr,  Kew Garden Hills NY, 11367",NA,"efficiency kitchen",NA,1,1,NA,4,NA,NA,NA,NA,"$1,800 ",69,"11367"
"1240",2007,"no","$652","condo","formal","no","71-23 162nd St, Fresh Meadows NY, 11365",NA,"eatin",NA,3,2,NA,8,NA,NA,NA,1400,"$394",82,"11365"
"1241",1955,"no",NA,"co-op",NA,"no","71-36 110 St, Forest Hills NY 11375",NA,"none","$1,280 ",1,1,NA,4,NA,NA,NA,700,NA,98,"11375"
"1242",1956,"no",NA,"co-op","combo","no","71-40 112th. St,  Forest Hills NY, 11375","yes","eatin","$1,042 ",2,1,NA,5,NA,NA,NA,NA,NA,96,"11375"
